# Logfile created on 2014-05-25 20:05:42 -0500 by logger.rb/31641
W, [2014-05-25T21:16:49.860238 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpss12-1 is not assigned to a portgroup
W, [2014-05-25T21:16:49.860361 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t2-1 is not assigned to a portgroup
W, [2014-05-25T21:16:49.860473 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpvums11 is not assigned to a portgroup
W, [2014-05-25T21:16:49.860590 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpdcnm11 is not assigned to a portgroup
W, [2014-05-25T21:16:49.860697 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpssz11-2 is not assigned to a portgroup
W, [2014-05-25T21:16:49.860959 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t3-1 is not assigned to a portgroup
W, [2014-05-25T21:16:49.861072 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t3-2 is not assigned to a portgroup
W, [2014-05-25T21:16:49.862772 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpss13-1 is not assigned to a portgroup
W, [2014-05-25T21:16:49.863689 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corparms11 is not assigned to a portgroup
W, [2014-05-25T21:16:49.863807 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t4-2 is not assigned to a portgroup
W, [2014-05-25T21:16:49.863892 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t4-1 is not assigned to a portgroup
W, [2014-05-25T21:16:49.863974 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpuims11 is not assigned to a portgroup
W, [2014-05-25T21:16:49.864054 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpvcms11 is not assigned to a portgroup
W, [2014-05-25T21:16:49.864137 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corparms12 is not assigned to a portgroup
